FinalRecordNumber,Time_Hour,Time_Minute,Time_Second,,,,,Latitude_DMM,Longitude_DMM,Altitude_Meters,Pressure_Pascal,Temperature_C,,,,,
49,13,52,35,6,-3,2,0,4010.29,8455.33,377.17,96877,8.64,0.54,10.66,0.74,529,428.3
50,13,52,36,6,-3,3,0,4010.29,8455.33,377,96886,8.64,0.54,10.7,0.66,529,427.15
51,13,52,39,6,-3,2,0,4010.29,8455.33,377.8,96875,8.68,0.54,10.7,0.7,525,423.64
52,13,52,40,6,-3,3,0,4010.29,8455.33,376.22,96885,8.69,0.5,10.74,0.7,526,424.51
53,13,52,44,6,-3,3,0,4010.29,8455.33,377.34,96882,8.71,0.5,10.74,0.78,529,427.15
54,13,52,46,6,-3,3,0,4010.29,8455.33,377.17,96873,8.72,0.5,10.7,0.74,529,427.15
55,13,52,48,6,-3,2,0,4010.29,8455.33,376.48,96884,8.76,0.5,10.7,0.66,529,427.15
56,13,52,50,6,-3,2,0,4010.29,8455.33,376.48,96880,8.73,0.5,10.66,0.66,529,428.3
57,13,52,52,6,-3,2,0,4010.29,8455.33,376.83,96882,8.63,0.5,10.66,0.7,530,428.3
58,13,52,55,6,-3,3,0,4010.29,8455.33,377,96878,8.58,0.5,10.55,0.7,529,427.15
59,13,52,59,6,-3,2,0,4010.29,8455.33,377.69,96875,8.66,0.39,10.63,0.62,531,428.91
60,13,53,0,6,-3,3,0,4010.29,8455.33,377.26,96877,8.71,0.39,10.47,0.86,530,428.91
61,13,53,4,6,-3,3,0,4010.29,8455.33,377.95,96875,8.73,0.5,10.7,0.66,529,427.15
62,13,53,6,6,-3,3,0,4010.29,8455.33,377,96872,8.76,0.47,10.7,0.7,529,428.3
63,13,53,8,6,-3,3,0,4010.29,8455.33,376.83,96877,8.76,0.47,10.7,0.66,530,428.3
64,13,53,10,6,-3,3,0,4010.29,8455.33,377.69,96879,8.69,0.43,10.7,0.7,530,428.3
65,13,53,12,6,-3,3,0,4010.29,8455.33,377.43,96876,8.75,0.47,10.74,0.66,530,428.91
66,13,53,15,6,-3,3,0,4010.29,8455.33,376.74,96878,8.75,0.47,10.7,0.66,530,428.3
67,13,53,16,6,-3,3,0,4010.29,8455.33,377.34,96880,8.78,0.43,10.66,0.66,530,428.3
68,13,53,19,6,-3,3,0,4010.29,8455.33,376.83,96883,8.81,0.47,10.74,0.74,530,428.3
69,13,53,22,6,-3,2,0,4010.29,8455.33,377.8,96875,8.83,0.47,10.7,0.62,530,428.91
70,13,53,24,6,-9,0,1,4010.29,8455.33,377.34,96879,8.83,2.82,7.49,0.3,527,426.27
71,13,53,26,6,-2,3,1,4010.29,8455.33,377.8,96886,8.83,0.58,10.74,0.78,533,430.67
72,13,53,28,6,-3,3,0,4010.29,8455.33,376.91,96881,8.82,0.5,10.7,0.74,530,428.3
73,13,53,30,7,3,-36,23,4010.29,8455.33,376.83,96883,8.8,0.62,12.43,-1.96,525,424.51
74,13,53,32,7,-36,24,-1,4010.29,8455.33,377.26,96870,8.72,0.7,10.23,-2.86,527,425.39
75,13,53,35,7,-3,2,0,4010.29,8455.33,376.83,96880,8.76,1.9,10.74,-1.29,529,428.3
76,13,53,36,7,-3,3,0,4010.29,8455.33,377.26,96879,8.8,1.1,10.74,-1.29,530,428.3
77,13,53,39,7,-3,2,0,4010.29,8455.33,377.52,96878,8.8,1.1,10.78,-1.41,530,428.3
78,13,53,40,7,-3,2,0,4010.29,8455.33,376.83,96889,8.84,1.5,10.74,-1.37,529,427.15
79,13,53,43,7,-3,2,0,4010.29,8455.33,376.91,96886,8.86,0.94,10.55,0.94,531,428.91
80,13,53,46,7,-3,3,0,4010.29,8455.33,377.77,96872,8.82,1.5,10.74,-1.33,527,425.39
81,13,53,48,7,-3,3,0,4010.29,8455.33,377.69,96873,8.72,1.1,10.78,-1.33,528,427.15
82,13,53,50,7,-3,2,0,4010.29,8455.33,377.69,96870,8.73,1.5,10.7,-1.41,529,427.15
83,13,53,52,7,-3,3,0,4010.29,8455.33,377,96880,8.76,1.1,10.82,-1.41,529,428.3
84,13,53,55,7,-3,3,0,4010.29,8455.33,377.6,96871,8.69,1.1,10.78,-1.37,530,428.3
85,13,53,56,7,-3,3,0,4010.29,8455.33,377.6,96880,8.6,1.1,10.74,-1.37,529,428.3
86,13,53,59,7,-3,3,0,4010.29,8455.33,377.52,96872,8.64,0.98,10.78,-1.33,529,428.3
87,13,54,0,7,-3,3,0,4010.29,8455.33,378.3,96874,8.7,1.5,10.7,-1.37,529,428.3
88,13,54,3,8,-3,3,0,4010.29,8455.33,377.6,96875,8.76,0.98,10.74,-1.37,529,428.3
89,13,54,6,8,-3,3,0,4010.29,8455.33,376.74,96882,8.78,1.5,10.78,-1.25,530,428.3
90,13,54,8,8,-3,3,0,4010.29,8455.33,377.34,96872,8.8,1.1,10.78,-1.37,530,428.3
91,13,54,10,8,-3,3,0,4010.29,8455.33,377.6,96874,8.82,1.5,10.7,-1.37,530,428.3
92,13,54,12,8,-3,3,0,4010.29,8455.33,381.6,96878,8.82,1.1,10.7,-1.37,529,428.3
93,13,54,15,8,-3,2,0,4010.29,8455.33,377.8,96871,8.85,1.1,10.74,-1.37,530,428.3
94,13,54,16,8,-3,3,0,4010.29,8455.33,377.43,96875,8.88,1.1,10.74,-1.37,529,428.3
95,13,54,19,8,-3,3,0,4010.29,8455.33,377,96878,8.89,1.5,10.74,-1.37,529,428.3
96,13,54,20,8,-3,2,0,4010.29,8455.33,377.43,96873,8.91,1.1,10.78,-1.37,527,426.27
97,13,54,23,8,-2,3,2,4010.29,8455.33,377.8,96871,8.89,0.74,10.39,-1.96,528,426.27
98,13,54,26,7,-3,3,0,4010.29,8455.33,377.26,96877,8.89,0.98,10.74,-1.33,529,428.3
99,13,54,28,7,-7,0,-9,4010.29,8455.33,377.43,96870,8.82,0.27,12.16,0.39,529,428.3
100,13,54,30,8,-3,2,0,4010.29,8455.33,376.83,96880,8.85,0.5,10.74,-1.49,529,428.3
101,13,54,32,8,-3,2,0,4010.29,8455.33,377,96879,8.88,0.5,10.7,-1.33,529,428.3
102,13,54,35,8,-3,3,0,4010.29,8455.33,377.86,96868,8.88,0.54,10.74,-1.41,529,428.3
103,13,54,36,8,-3,2,0,4010.29,8455.33,377.6,96872,8.88,0.5,10.74,-1.41,529,427.15
104,13,54,39,8,-3,3,0,4010.29,8455.33,378.3,96870,8.88,0.5,10.74,-1.37,529,427.15
105,13,54,40,8,-3,3,0,4010.29,8455.33,377.6,96872,8.88,0.54,10.78,-1.41,527,425.39
106,13,54,43,8,-3,3,0,4010.29,8455.33,377.26,96867,8.88,0.58,10.74,-1.45,526,425.39
107,13,54,48,8,-3,3,0,4010.29,8455.33,377.6,96873,8.88,0.54,10.78,-1.41,526,425.39
108,13,54,50,8,-5,2,0,4010.29,8455.33,377.52,96874,8.91,0.74,10.82,0.98,522,421
109,13,54,52,7,-4,2,3,4010.29,8455.33,377.77,96869,8.86,0.74,10.74,-1.41,533,430.67
110,13,54,55,7,-3,2,-1,4010.29,8455.33,377.43,96874,8.86,0.47,10.82,-1.1,515,415.73
111,13,54,56,8,7,2,-6,4010.29,8455.33,376.74,96874,8.9,0.78,11.6,0,525,423.64
112,13,54,59,8,4,2,3,4010.29,8455.33,377.34,96872,8.93,0.58,11.21,0.31,529,428.3
113,13,55,0,8,-3,3,0,4010.29,8455.33,377.69,96875,8.98,0.27,10.74,-1.21,531,428.91
114,13,55,3,8,-4,2,0,4010.29,8455.33,377.77,96874,8.98,0.39,10.51,-1.49,524,423.64
115,13,55,6,8,-3,2,0,4010.29,8455.33,377.26,96871,9,0.39,10.74,-1.21,527,426.27
116,13,55,8,8,-3,3,0,4010.29,8455.33,377.17,96870,8.98,0.43,10.7,-1.17,529,427.15
117,13,55,10,8,0,2,-1,4010.29,8455.33,377.17,96873,9.2,1.5,10.51,0.82,527,425.39
118,13,55,12,8,-4,3,-4,4010.29,8455.33,376.83,96884,9.4,-2.43,19.69,-4.4,526,424.51
119,13,55,14,8,-16,2,34,4010.29,8455.33,377.6,96874,9.6,0.35,11.21,-1.9,528,426.27
120,13,55,16,8,-8,5,-9,4010.29,8455.33,377.95,96877,9.6,0.98,9.29,-2.47,527,426.27
121,13,55,19,8,-5,3,1,4010.29,8455.33,377.52,96869,9.6,0.3,12.55,-1.13,528,427.15
122,13,55,20,9,-3,3,0,4010.29,8455.33,377.69,96875,9.1,0.5,10.74,-1.52,529,428.3
123,13,55,23,9,-3,3,0,4010.29,8455.33,378.38,96870,9.1,0.54,10.78,-1.49,528,426.27
124,13,55,26,9,7,4,0,4010.29,8455.33,377.86,96874,9.11,0.74,10.78,-1.33,529,428.3
125,13,55,28,9,-12,2,12,4010.29,8455.33,378.3,96877,9.13,-1.6,9.2,-3.37,527,426.27
126,13,55,30,9,-45,6,0,4010.29,8455.33,378.29,96871,9.14,-1.13,13.61,-1.33,526,425.39
127,13,55,32,9,-4,2,0,4010.29,8455.33,377.77,96869,9.16,0.9,10.9,-1.56,526,425.39
128,13,55,34,9,-4,3,-1,4010.29,8455.33,377.6,96864,9.16,1.6,10.43,-1.29,526,425.39
129,13,55,36,9,-33,-41,35,4010.29,8455.33,377.17,96871,9.16,0.39,11.2,0.98,527,426.27
130,13,55,39,9,-18,55,8,4010.29,8455.33,377.86,96869,9.14,0.47,10.39,0.5,526,425.39
131,13,55,40,9,-3,3,0,4010.29,8455.33,378.3,96868,8.89,0.78,10.82,0.74,526,425.39
132,13,55,43,9,-3,3,0,4010.29,8455.33,377.43,96870,8.76,0.74,10.82,0.5,526,425.39
133,13,55,46,9,-3,2,0,4010.29,8455.33,377.77,96871,8.83,0.86,10.74,0.66,527,426.27
134,13,55,48,9,-3,3,-2,4010.29,8455.33,377.95,96875,8.68,0.58,10.94,0.54,527,425.39
135,13,55,50,9,-3,3,0,4010.29,8455.33,377.6,96876,8.78,0.9,10.74,0.62,527,425.39
136,13,55,52,9,-3,3,0,4010.29,8455.33,377.43,96879,8.78,0.86,10.74,0.66,523,422.76
137,13,55,54,9,-2,3,0,4010.29,8455.33,377.43,96879,8.61,0.86,10.78,0.58,522,421
138,13,55,56,9,-2,2,0,4010.29,8455.33,377.77,96876,8.44,0.86,10.74,0.62,524,423.64
139,13,55,59,9,-3,3,0,4010.29,8455.33,377.34,96879,8.36,0.86,10.74,0.66,525,424.51
140,13,56,0,9,-3,2,0,4010.29,8455.33,376.48,96883,8.38,0.78,10.55,0.58,526,425.39
141,13,56,4,9,-3,3,0,4010.29,8455.33,377.43,96874,8.29,0.86,10.7,0.62,525,424.51
142,13,56,6,9,-3,3,0,4010.29,8455.33,378.12,96875,8.22,0.9,10.66,0.66,525,424.51
143,13,56,8,9,-3,2,0,4010.29,8455.33,377.95,96876,8.13,0.86,10.7,0.7,526,425.39
144,13,56,10,9,-3,3,0,4010.29,8455.33,377.43,96878,8.6,0.9,10.74,0.62,526,424.51
145,13,56,12,9,-3,3,0,4010.29,8455.33,377.34,96878,7.99,0.94,10.7,0.66,526,425.39
146,13,56,15,9,-3,3,0,4010.29,8455.33,376.65,96887,7.93,0.86,10.66,0.62,526,425.39
147,13,56,16,9,-3,2,0,4010.29,8455.33,377.52,96875,7.87,0.82,10.74,0.62,526,425.39
148,13,56,19,9,-3,3,0,4010.29,8455.33,377.26,96883,7.84,0.86,10.7,0.66,526,425.39
149,13,56,22,9,-3,3,0,4010.29,8455.33,376.91,96878,7.81,0.86,10.74,0.66,526,425.39
150,13,56,24,9,-3,2,0,4010.29,8455.33,376.83,96884,7.71,0.9,10.7,0.62,526,425.39
151,13,56,26,9,-3,3,0,4010.29,8455.33,376.91,96869,7.69,0.86,10.7,0.66,526,424.51
152,13,56,28,9,-3,2,0,4010.29,8455.33,377.77,96880,7.67,0.86,10.7,0.58,526,424.51
153,13,56,30,9,-3,3,0,4010.29,8455.33,377,96889,7.66,0.9,10.74,0.66,525,424.51
154,13,56,32,9,-3,2,0,4010.29,8455.33,377.8,96877,7.56,0.9,10.74,0.66,525,424.51
155,13,56,35,9,-3,3,0,4010.29,8455.33,377,96876,7.48,0.9,10.7,0.66,525,424.51
156,13,56,36,9,-3,2,0,4010.29,8455.33,377.17,96881,7.46,0.86,10.74,0.66,525,424.51
157,13,56,39,9,-3,3,0,4010.29,8455.33,377.8,96882,7.44,0.86,10.7,0.7,525,424.51
158,13,56,40,9,-3,3,0,4010.29,8455.33,376.48,96880,7.35,0.86,10.78,0.7,525,424.51
159,13,56,43,9,-3,3,0,4010.29,8455.33,376.65,96884,7.29,0.78,10.55,0.58,525,424.51
160,13,56,46,9,-3,2,0,4010.29,8455.33,377,96880,7.26,0.86,10.7,0.62,522,421
161,13,56,48,9,-3,2,0,4010.29,8455.33,377.26,96877,7.25,0.86,10.66,0.62,523,422.76
162,13,56,50,9,-3,2,0,4010.29,8455.33,377.34,96887,7.25,0.9,10.66,0.66,524,422.76
163,13,56,52,9,-3,2,0,4010.29,8455.33,377.26,96883,7.21,0.98,10.63,0.74,524,423.64
164,13,56,55,9,-3,3,0,4010.29,8455.33,376.39,96887,7.15,0.86,10.7,0.66,525,424.51
165,13,56,56,9,-3,2,0,4010.29,8455.33,376.83,96883,7.11,0.86,10.74,0.66,525,423.64
166,13,56,59,9,-3,3,0,4010.29,8455.33,376.91,96874,7.14,0.82,10.66,0.66,525,423.64
167,13,57,0,9,-3,3,0,4010.29,8455.33,376.39,96883,7.9,0.9,10.7,0.66,518,417.48
168,13,57,3,9,-3,2,0,4010.29,8455.33,376.83,96881,7.17,0.86,10.66,0.66,518,417.48
169,13,57,6,9,-3,3,0,4010.29,8455.33,376.65,96882,7.21,0.9,10.7,0.66,522,421
170,13,57,8,8,-3,3,0,4010.29,8455.33,376.48,96884,7.13,0.86,10.74,0.66,523,421.88
171,13,57,10,8,-3,2,0,4010.29,8455.33,376.5,96887,7.13,0.9,10.74,0.7,523,422.76
172,13,57,12,8,-3,2,0,4010.29,8455.33,377,96888,7.9,0.9,10.7,0.66,520,419.24
173,13,57,15,8,-3,2,0,4010.29,8455.33,376.83,96887,7.3,0.86,10.66,0.58,522,421.88
174,13,57,16,8,-3,2,0,4010.29,8455.33,376.83,96887,7.6,0.86,10.7,0.66,523,421.88
175,13,57,19,8,-3,2,0,4010.29,8455.33,376.48,96880,7.7,0.82,10.7,0.66,523,422.76
176,13,57,20,8,-3,3,0,4010.29,8455.33,376.31,96883,7.4,0.86,10.7,0.66,519,418.36
177,13,57,23,8,-2,2,0,4010.29,8455.33,376.83,96884,7,0.82,10.74,0.66,520,420.12
178,13,57,26,8,-3,3,0,4010.29,8455.33,375.96,96890,7,0.82,10.74,0.66,522,421.88
179,13,57,28,8,-3,2,0,4010.29,8455.33,377.17,96879,7.1,0.9,10.7,0.62,523,421.88
180,13,57,30,8,-3,2,0,4010.29,8455.33,376.83,96888,7.4,0.86,10.74,0.62,523,422.76
181,13,57,32,8,-3,3,0,4010.29,8455.33,376.74,96880,6.96,0.86,10.74,0.66,523,421.88
182,13,57,35,9,-3,3,0,4010.29,8455.33,376.83,96884,6.88,0.86,10.66,0.7,523,422.76
183,13,57,36,9,-3,3,0,4010.29,8455.33,376.57,96888,6.84,0.86,10.7,0.66,523,422.76
184,13,57,39,9,-3,3,0,4010.29,8455.33,375.79,96888,6.8,0.86,10.66,0.66,523,422.76
185,13,57,43,9,-3,3,0,4010.29,8455.33,376.83,96886,6.86,0.9,10.7,0.66,516,416.6
186,13,57,46,9,-3,3,0,4010.29,8455.33,376.31,96888,6.94,0.86,10.7,0.66,520,419.24
187,13,57,48,9,-3,2,0,4010.29,8455.33,376.65,96873,6.98,0.82,10.74,0.58,521,421
188,13,57,50,9,-3,2,0,4010.29,8455.33,377.6,96881,6.88,0.86,10.7,0.66,522,421
189,13,57,52,9,-3,2,0,4010.29,8455.33,376.74,96885,6.87,0.86,10.7,0.58,518,418.36
190,13,57,55,9,-3,3,0,4010.29,8455.33,376.65,96884,6.86,0.86,10.66,0.58,521,421
191,13,57,56,9,-3,3,0,4010.29,8455.33,376.5,96884,6.8,0.86,10.7,0.7,521,421
192,13,57,59,9,-3,3,0,4010.29,8455.33,376.48,96886,6.8,0.82,10.74,0.66,522,421.88
193,13,58,0,9,-3,2,0,4010.29,8455.33,376.65,96889,6.78,0.86,10.7,0.62,522,421.88
194,13,58,3,9,-3,3,0,4010.29,8455.33,376.31,96885,6.84,0.86,10.7,0.66,522,421.88
195,13,58,6,9,-3,3,0,4010.29,8455.33,376.57,96890,6.9,0.86,10.66,0.66,522,421.88
196,13,58,8,9,-2,2,0,4010.29,8455.33,377.52,96880,6.87,0.86,10.78,0.62,522,421.88
197,13,58,10,9,-3,2,0,4010.29,8455.33,376.48,96885,6.91,0.82,10.7,0.66,522,421.88
198,13,58,12,9,-3,3,0,4010.29,8455.33,376.31,96889,6.94,0.86,10.7,0.62,522,421.88
199,13,58,15,9,-3,3,0,4010.29,8455.33,376.39,96889,6.98,0.86,10.59,0.66,522,421.88
200,13,58,16,9,-3,3,0,4010.29,8455.33,377.8,96875,7,0.82,10.66,0.58,522,421.88
201,13,58,19,9,-3,3,0,4010.29,8455.33,376.74,96891,6.93,0.82,10.66,0.62,522,421.88
202,13,58,20,9,-3,3,0,4010.29,8455.33,375.7,96893,6.96,0.86,10.74,0.62,515,415.73
203,13,58,26,9,-3,2,0,4010.29,8455.33,376.31,96896,6.96,0.86,10.74,0.54,518,418.36
204,13,58,28,9,-3,2,0,4010.29,8455.33,376.83,96884,6.88,0.82,10.7,0.66,520,419.24
205,13,58,30,9,-3,3,0,4010.29,8455.33,376.13,96888,6.83,0.86,10.66,0.62,520,420.12
206,13,58,32,9,-3,2,0,4010.29,8455.33,375.7,96887,6.82,0.86,10.7,0.62,518,417.48
207,13,58,35,9,-3,3,0,4010.29,8455.33,376.39,96884,6.81,0.86,10.7,0.62,520,420.12
208,13,58,36,9,-3,3,0,4010.29,8455.33,375.79,96894,6.78,0.86,10.66,0.7,520,420.12
209,13,58,39,9,-3,3,0,4010.29,8455.33,376.83,96879,6.76,0.86,10.66,0.66,520,420.12
210,13,58,40,9,-3,3,0,4010.29,8455.33,376.13,96887,6.79,0.9,10.7,0.66,520,420.12
211,13,58,43,9,-3,3,0,4010.29,8455.33,376.31,96889,6.75,0.86,10.7,0.62,516,415.73
212,13,58,46,9,-3,2,0,4010.29,8455.33,376.65,96885,6.69,0.82,10.7,0.74,519,419.24
213,13,58,48,9,-3,2,0,4010.29,8455.33,376.22,96893,6.65,0.82,10.74,0.54,520,420.12
214,13,58,50,9,-3,3,0,4010.29,8455.33,376.57,96886,6.63,0.86,10.7,0.66,520,420.12
215,13,58,52,9,-3,3,0,4010.29,8455.33,375.7,96890,6.62,0.86,10.63,0.7,516,416.6
216,13,58,55,9,-3,2,0,4010.29,8455.33,376.39,96884,6.64,0.86,10.7,0.74,519,419.24
217,13,58,56,9,-3,2,0,4010.29,8455.33,376.22,96894,6.62,0.86,10.7,0.66,519,419.24
218,13,58,59,9,-3,2,0,4010.29,8455.33,376.39,96891,6.62,0.9,10.66,0.66,520,420.12
219,13,59,0,9,-3,3,0,4010.29,8455.33,375.79,96888,6.63,0.86,10.7,0.7,520,420.12
220,13,59,3,9,-3,3,0,4010.29,8455.33,376.22,96891,6.64,0.86,10.74,0.66,520,420.12
221,13,59,6,9,-3,3,0,4010.29,8455.33,376.39,96890,6.67,0.86,10.66,0.66,520,420.12
222,13,59,8,9,-3,3,0,4010.29,8455.33,376.31,96891,6.63,0.86,10.66,0.62,520,420.12
223,13,59,10,9,-3,3,0,4010.29,8455.33,377.17,96890,6.58,0.82,10.78,0.66,520,420.12
224,13,59,12,9,-3,3,0,4010.29,8455.33,375.7,96896,6.58,0.9,10.66,0.58,518,418.36
225,13,59,14,9,-4,2,0,4010.29,8455.33,376.65,96892,6.54,0.78,10.74,0.74,519,419.24
226,13,59,16,9,-3,3,0,4010.29,8455.33,375.96,96890,6.53,0.86,10.7,0.62,520,420.12
227,13,59,19,9,-3,2,0,4010.29,8455.33,376.48,96888,6.48,0.86,10.7,0.66,519,419.24
228,13,59,20,9,-3,3,0,4010.29,8455.33,376.5,96889,6.44,0.86,10.7,0.58,515,414.85
229,13,59,23,9,-3,2,0,4010.29,8455.33,375.87,96888,6.44,0.86,10.66,0.5,517,417.48
230,13,59,26,9,-3,3,0,4010.29,8455.33,376.39,96889,6.42,0.82,10.74,0.66,519,419.24
231,13,59,28,9,-3,2,0,4010.29,8455.33,376.57,96886,6.43,0.82,10.7,0.74,519,419.24
232,13,59,32,9,-3,3,0,4010.28,8455.33,376.22,96881,6.42,0.9,10.74,0.58,516,415.73
233,13,59,35,9,-3,2,0,4010.28,8455.33,376.65,96887,6.43,0.86,10.7,0.66,515,415.73
234,13,59,36,9,-3,3,0,4010.28,8455.33,375.96,96890,6.41,0.82,10.7,0.74,515,414.85
235,13,59,39,9,-3,2,0,4010.28,8455.33,375.87,96895,6.4,0.82,10.7,0.66,514,414.85
236,13,59,40,9,-3,3,0,4010.28,8455.33,376.5,96890,6.37,0.86,10.74,0.62,512,412.21
237,13,59,43,9,-3,3,0,4010.28,8455.33,376.39,96889,6.38,0.86,10.66,0.62,513,413.9
238,13,59,46,9,-3,2,0,4010.28,8455.33,376.39,96884,6.37,0.86,10.7,0.66,514,413.97
239,13,59,48,9,-3,2,0,4010.28,8455.33,376.39,96890,6.41,0.86,10.7,0.66,514,413.97
240,13,59,50,9,-3,3,0,4010.28,8455.33,376.22,96886,6.41,0.86,10.66,0.62,514,413.97
241,13,59,52,9,-3,2,0,4010.28,8455.33,376.83,96892,6.38,0.86,10.7,0.62,513,413.9
242,13,59,54,9,-3,3,0,4010.28,8455.33,376.22,96880,6.33,0.86,10.7,0.58,513,413.9
243,13,59,56,9,-3,2,0,4010.28,8455.33,376.57,96885,6.37,0.86,10.7,0.62,514,413.97
244,13,59,59,9,-3,3,0,4010.28,8455.33,375.79,96888,6.37,0.82,10.66,0.66,513,413.97
245,14,0,0,9,-3,2,0,4010.28,8455.33,376.57,96887,6.4,0.86,10.7,0.66,513,413.97
246,14,0,3,9,-3,2,0,4010.28,8455.33,375.87,96891,6.44,0.86,10.74,0.62,512,412.21
247,14,0,6,9,-3,2,0,4010.28,8455.33,376.31,96887,6.46,0.86,10.7,0.62,513,413.97
248,14,0,8,9,-3,2,0,4010.28,8455.33,375.87,96889,6.44,0.82,10.7,0.66,513,413.97
249,14,0,10,9,-3,2,0,4010.28,8455.33,375.36,96899,6.43,0.86,10.66,0.7,513,413.97
